ID;Categorie;Nom;Description;Prix;NomPhoto
20905;Cigarettes;Austin Blue 8*25;Format 8*25;54.00;20905_austin_blue_8_25.jpg
21157;Cigarettes;Austin Red 10*20;Format 10*20;57.00;21157_austin_red_10_20.jpg
22515;Cigarettes;Austin Red 4*50;Format 4*50;51.60;22515_austin_red_4_50.jpg
20996;Cigarettes;Austin Red 8*25;Format 8*25;54.00;20996_austin_red_8_25.jpg
21038;Cigarettes;Bastos Red Soft 8*25;Format 8*25;80.00;21038_bastos_red_soft_8_25.jpg
21231;Cigarettes;Benson & Hedges Gold 10*20;Format 10*20;78.00;21231_benson___hedges_gold_10_2.jpg
20906;Cigarettes;Camel Activate 10*20;Format 10*20;71.00;20906_camel_activate_10_20.jpg
21064;Cigarettes;Camel Activate White 10*20;Format 10*20;71.00;21064_camel_activate_white_10_2.jpg
20919;Cigarettes;Camel Filters 10*20;Format 10*20;71.00;20919_camel_filters_10_20.jpg
20957;Cigarettes;Camel Filters 100s 10*20;Format 10*20;74.00;20957_camel_filters_100s_10_20.jpg
20907;Cigarettes;Camel Filters 5*40;Format 5*40;65.00;20907_camel_filters_5_40.jpg
21040;Cigarettes;Camel Filters 8*25;Format 8*25;70.40;21040_camel_filters_8_25.jpg
20958;Cigarettes;Camel Filters 8*30;Format 8*30;84.00;20958_camel_filters_8_30.jpg
21039;Cigarettes;Camel Filters Blue 10*20;Format 10*20;71.00;21039_camel_filters_blue_10_20.jpg
20908;Cigarettes;Camel Filters Blue 5*40;Format 5*40;65.00;20908_camel_filters_blue_5_40.jpg
21077;Cigarettes;Camel Filters Blue 8*25;Format 8*25;70.40;21077_camel_filters_blue_8_25.jpg
20909;Cigarettes;Camel Filters Blue 8*30;Format 8*30;84.00;20909_camel_filters_blue_8_30.jpg
20999;Cigarettes;Camel Natural Blue 10*20;Format 10*20;71.00;20999_camel_natural_blue_10_20.jpg
20807;Cigarettes;Camel Natural Red 10*20;Format 10*20;71.00;20807_camel_natural_red_10_20.jpg
21148;Cigarettes;Che 10*20;Format 10*20;63.00;21148_che_10_20.jpg
20949;Cigarettes;Chesterfield Blue 8*25;Format 8*25;63.20;20949_chesterfield_blue_8_25.jpg
21056;Cigarettes;Chesterfield Blue 8*30;Format 8*30;74.40;21056_chesterfield_blue_8_30.jpg
20948;Cigarettes;Chesterfield Orange 10*20;Format 10*20;67.00;20948_chesterfield_orange_10_20.jpg
21057;Cigarettes;Chesterfield Orange 8*25;Format 8*25;63.20;21057_chesterfield_orange_8_25.jpg
20950;Cigarettes;Chesterfield Orange 8*30;Format 8*30;74.40;20950_chesterfield_orange_8_30.jpg
21309;Cigarettes;Corset Slim Fresh 10*20;Format 10*20;55.00;21309_corset_slim_fresh_10_20.jpg
21232;Cigarettes;Corset Slim Lila 10*20;Format 10*20;55.00;21232_corset_slim_lila_10_20.jpg
21027;Cigarettes;Corset Slim Pink 10*20;Format 10*20;55.00;21027_corset_slim_pink_10_20.jpg
21019;Cigarettes;Davidoff Classic 10*20;Format 10*20;79.00;21019_davidoff_classic_10_20.jpg
21176;Cigarettes;Davidoff Gold 10*20;Format 10*20;79.00;21176_davidoff_gold_10_20.jpg
21000;Cigarettes;Ducal Blue 8*30;Format 8*30;66.40;21000_ducal_blue_8_30.jpg
20912;Cigarettes;Ducal Gold 8*30;Format 8*30;66.40;20912_ducal_gold_8_30.jpg
20981;Cigarettes;Ducal Red 4*50;Format 4*50;54.00;20981_ducal_red_4_50.jpg
21158;Cigarettes;Ducal Red 5*40;Format 5*40;54.00;21158_ducal_red_5_40.jpg
20980;Cigarettes;Ducal Red 8*25;Format 8*25;56.80;20980_ducal_red_8_25.jpg
20913;Cigarettes;Ducal Red 8*30;Format 8*30;66.40;20913_ducal_red_8_30.jpg
21013;Cigarettes;Ducal Silver 8*30;Format 8*30;66.40;21013_ducal_silver_8_30.jpg
20910;Cigarettes;Dunhill International Red 10*20;Format 10*20;88.00;20910_dunhill_international_red.jpg
21079;Cigarettes;Elixyr Blue 10*20;Format 10*20;61.00;21079_elixyr_blue_10_20.jpg
21081;Cigarettes;Elixyr Blue 5*40;Format 5*40;54.50;21081_elixyr_blue_5_40.jpg
20911;Cigarettes;Elixyr Blue 8*25;Format 8*25;57.60;20911_elixyr_blue_8_25.jpg
21501;Cigarettes;Elixyr Duo 10*20;Format 10*20;61.00;21501_elixyr_duo_10_20.jpg
21485;Cigarettes;Elixyr Plus M-Type 10*20;Format 10*20;61.00;21485_elixyr_plus_m_type_10_20.jpg
21670;Cigarettes;Elixyr Plus M-Type 8*25;Format 8*25;57.60;21670_elixyr_plus_m_type_8_25.jpg
21506;Cigarettes;Elixyr Plus X-Type 10*20;Format 10*20;61.00;21506_elixyr_plus_x_type_10_20.jpg
